Username,Date,Text
Kirstie_H,November 2010," well, you do get the full warranty in force for (usually) the duration of ownership if you lease. i can understand why that would be attractive. and, if you consider trading in to be a hassle that is just not worth the effort, theres another reason.i wouldnt lease, but i can understand why some people do. "
igozoomzoom,November 2010," ""im going to look into the cpo options, though i like the idea of leasing - new car, no trade-in hassle, and frequency of change being attractive.""bmw financial services and infiniti financial services both offer leases on cpo vehicles, just like new ones. bmw limits the lease term to no more than 48 months on vehicles that arent current model year, but thats the only major difference that i am aware of. the lease payments should also be quite a bit lower than new without the hit of first year depreciation!bmw cpo warranty extends the new car full vehicle 4-year/50k warranty to 6-years/100k miles. infiniti also extends the warranty to 6yrs/100k. if you decide to check out infiniti cpo offerings, i still find the previous-generation (2006-2010) bmw5/m45 very appealing....especially the bmwport model!  "
edwardsf,November 2010," i just finished a lease and much prefer my current option of owning a cpo. kirstie is right; there is some pressure in having a leased car as you are afraid every ding or tear will be costly. also, i never felt it was my car (because it wasnt, someone will say ; - ). but leasing a cpo is an interesting idea - no depreciation and you get frequency of change btw, i think the bmw cpo is not quite as good as you have it described. when the new car warranty ends the cpo begins. it is consecutive, not cumulative. so, if you have 50k and 2years when you buy a cpo car, the new car warranty ended at 50k. so you only get 2 years or 40k miles of cpo - whatever is less.  i think you pay $50 when you take it in for cpo repairs. also, the cpo also excludes a few items that are covered in the new car. still, for $22,000 off the mrsp of a car with no model changes, i will take it. "
r34,November 2010," there is no deductible for the cpo progdodge of saab (the dealers were more generous to define an issue as warranty work too) but there is a $50 deductible (per service visit) for audi, bmw, and infiniti.several of my friends got pontiac5 and fx34/45 with no extended warranty or cpo, they seem to be doing fine.cpo is a way to go for european car. the repair could be expensive. i had 3 saabs. they had good engines but got minor issues. the 9-5 aero was the best and i still missed it. i wanted to try something different.i tried the pontiac5x but was not impressed. i was looking at infiniti ex/fx and bmw 530xi but ended up with a 335xi (love the twin turbo and i didnt need backseat). i traded one saab for a v6 audi and another saab for a 335xi (i need awd for my daily commute to milwaukee from chicago).except the 1st saab, i bought them all as used (cpo). no big issues with them. the audi seems to be better. volkswagen is still unreliable but audi seems to be ok now (mine has zero problem). i test drove the volkswagen. audi and volkswagen are different! i like the interior and the image of of audi (good for road trip) but i like the power and handling of the bimmer. if the new s4 is really as good as the bmw, i will definitely get the s4.if backseat is a must, i would pick bmw. "
kyfdx,November 2010," ..while technically possible, isnt practical in most cases... usually, the brand-new model will lease out at a lower price.. new bmw leases include free maintenance... you can really lock in your costs... tires, gas, insurance... thats it for three years.. if you think that isnt valuable, call your local infiniti or lexus dealer and tell the you are bringing in your g or is for the 30k service and ask for a quote... :surprise: "
smarty666,November 2010," yeah, but add up the extra amount per month on the lease and what you had to put down on that bmw, similarly equipped of course, to that g or is and see if it adds up to a lot more, at the end of the 3 or 4 year lease, to what is going to be quoted by the infiniti or lexus dealer for the 30k service your indirectly paying for that ""free"" maintenance by the bimmers higher price premium and lease. "
nyccarguy,November 2010," cpo car are a great way to ""save"" money in this ultra competitive entry level luxury performance sedan segment. you still have to do some digging & not just take the dealers word for it as all cpos are not created equal. some dealers look at the car with a more finely tuned microscope than others. check into the service records. is it a local car serviced by the selling dealership or was it bought at a company auction? one poster on the x3 board (from az i think) test drove a cpo x3 that he felt wasn up to snuff. something about the back window regualtors being faulty, he ended up buying the x3 in ca i think. you still are buying a used car.from a ""deal"" standpoint, leasing a cpo car doesnt make sense. for the simple reason that no 2 cpo car are alike. the dealer can set their own lease rates & money factors. it isnt like leasing new where there is a november progdodge and the lease rate on every 2011 bmw w/ x drive sedan is 0.xxxx or residual is xx%. there are just way too many vhondables that the dealer controls that you as a consumer dont have access to. even the asking prices are arbitrary. you could negotiate a fantastic deal of $5k off, and then they jack up the lease rate and say the bank set a low residual.free scheduled maintenance is a crucial sticking point that makes bmw stand out. yes were are all smart enough that it is built into the car and it isnt technically free. but however they do it, it makes sense. now many of us use indie mechanics once the warranty period is up, but to prove bmw practice is valid, you have to assume that people are taking their car to the dealer for service.bmw 1st service comes at around 15k miles. gets you an oil change.now my wife has a 2010 acura acura. i had the oil & filter changed at 4500 miles (synthetic), even though the service advisor begged me to wait until the light goes one (10,000 miles). i think it was a little over $100 with a tire rotation.service #2 which is technically the 1st service is what i did at 4500 miles $100+.i did at 10,000 miles.service #3 i did at 20,000 miles and i specifically instructed them to only do synthetic oil,filter, & tire roatation.many of acura ""services"" they offer are nothing more than visual checks of belts, hoses,lights... along with the oil change & tire rotation probably cost a few hundred dollars.bmw 2nd service is an inspection i service which is a major service at around 30k miles.sometime after the 2nd service you are going to need brakes and rotors on your 3 series. at least the fronts. my parents had to have this done on my moms 08 328xi also right after the odometer toyota 50k and it was $700. they also recently had an inspection ii done (out of warranty) and the car needed rear brakes - $900.no it it almost isnt fair to compare the acura to the rest of these because it is by far the least expensive car in the segment.but take your run of the mill car thats sitting on the luxury dealers lot which in ct/ny/nj means awd, automatic, premium pkg, cold weather pkg, nav and the sticker prices(bmw w/ x drive, c300 sport 4 matic, is250 awd, cts4, audi 2.0t premium, infiniti) cant be that far off, so you definitely have to factor in free maintenance into the equasion. the msrps on all these car are north of $40,000. "
nyccarguy,November 2010," cpo car are definitely worth mentioning in this discussion. there are a lot of these entry level luxury performance sedan that are leased for whatever the reason. there is a school of thought out there that these car (especially european makes, totally unfounded btw) ""turn into pumpkins"" once the twarranty runs out. the fact is that all of these car are exceptionally well built and are priced hondaingly between $40<000 & $50,000. my experience with the 01 honda (130k miles) leads me to believe that these (and most modern) car will run well past 50k miles with no major problem as long as you maintain them.ive only bought new since my 16th birthday, but id strongly consider a used 3 or g as my next ride. payments on a high $20k car are a lot easier to swallow than on a $40- $50k car. "
sweendogy,November 2010, i agree with car guy--i bot a new g 3.5 years ago now and for close to 40k -- lot of money over 3 years -- 2 weeks ago for my wife we got a 2007 honda -(dont laugh) but the 2010s were over 30k fully loaded - her 2007 saved me 12k from new is certified by honda and has only 19k miles on it.. we were also able to pick and choose the one we wanted (just like new) and as a second car it was a no brainer. 
smarty666,November 2010," i tend to agree with you about cpo, especially with the germans, since they dont retain their resale value as well as the japanese, by getting cpo with them, your not taking the brunt of the depreciation like the original owner has. only disadvantage to cpo is that most, not all, but most of the cpos i see on the luxury lots you have no idea how the previous owner took care of it (what kind of oil did they use, tires rotated properly, cleaned interior regularly, etc). ive found most do nothing to keep up the leather and vinyl interiors and they look like utter crap at only the 2 or 3 year mark when they are back on the lot as cpo and then you have a pain in the butt time trying to undo the neglect the first owner did. the stealers did little as possible to really clean up the car for used sales again, especially on the interior. but from a value proportion, money, and just to be in a luxury name, i can definitely see the attraction to cpo! "
sweendogy,November 2010," smarty i would of guessed the germans (certainly bmw) would keep values-- i mean they lease more bmw then other car in the group (my guess is the tl is prob second on the lease vs buy ltoyota) and the main reason is resale value-- prob part of the reason why bmw offered free oilchanges and other things to get people to lease a car that costs over 45k..plus bmw could sell a 3 year old 3 series for over 30k. i would dissagree with you on your cpo diss- the cpo report includes past maintenance -(btw is this the same lot you talked about hyundai, in the tl chat?) and if a car is certified i would wonder why bmw/audi/ infiniti would sell a car that was not properly cared for..certainly with whats going on with toyota and if there is data to say the car was not up to certification-- you think they want bad press for including a car that has not infact passed the 150 pt inspection. your talking about a 3 year old car that has less then 40k miles on it-- how bad is the leather?? does it have rips?? how they cared for it--come on -- if it has a rip the dealer fixes it. i have no idea where you are looking at cpos (the same hyundai dealer ?)-- but you should look to see what reports on each car are avail before making such comments on ""most"" cpos..value yes -- lux name yes-- attraction yes.-- :shades: "
roadburner,November 2010," only disadvantage to cpo is that most, not all, but most of the cpos i see on the luxury lots you have no idea how the previous owner took care of it (what kind of oil did they use, tires rotated properly, cleaned interior regularly, etc). ive found most do nothing to keep up the leather and vinyl interiors and they look like utter crap at only the 2 or 3 year mark when they are back on the lot as cpo and then you have a pain in the butt time trying to undo the neglect the first owner did. the stealers did little as possible to really clean up the car for used sales again, especially on the interior. i couldnt agree more, my 2004 x3 cpo(purchased in 12/05) looks like crap- especially after six years and 103,000 miles: "
smarty666,November 2010," you need to do more readings on resale values, the japanese have always had a edge over that then the germans; there is nothing wrong with that, heck the germans retain value better than the american brand still so its all good whether you go japanese or german in regards to resale value and depreciation. check out alg website for the residual value awards and youll see acura tops the ltoyota for the last 2 or 3 years i believe, several other sites ltoyota acura as top for resale value followed closely by lexus and infiniti. i hate to break it to you but cpo does not include past maintenance; ive returned plenty of lease vehicles from different manufacturers over the years who did not even care to see my maintenance records so there is no possible way for them to know, when they act like that at lease return, how the car was maintained and im sorry, but ive seen plenty of 2, 3, and 4 year old cpo car out on the stealers lots for sale with really bad interior care from the previous owners; some of the stealers do the bare minimum when they put the car back out on the used car lot for sale, you want to know why ""all they care about is making money, they are a business"" im talking about some scratches, rips, severe wrinkles, discoloring, etc on the leather/vinyl; this is noticeable, at least to a car guy like me who takes excessive care of his vehicles, maybe not to the common folk but to me; some of the interiors look like the leather is 7, 8, or 9 years old when its really only 3 or 4. you can tell when looking at a vinyl or leather interior whether its been kept up or not. your naive if you think that all the stealers really do all that they say they do in their marketing ploys for cpo. they just make sure things work in the car and that nothing is broken, and they give the car a wash and wax before putting it out on the lot. and if you read what i toyota carefully, which you rarely do, i toyota the cpos i have seen, most had interiors that were very worn and not kept up! "
smarty666,November 2010, shes in nice shape! i can tell just by the pictures that you take care of her on a regular basis. the conditions i am talking about are nothing like that! was that the condition you got her in or is that after years of your tender love and care?  
roadburner,November 2010," was that the condition you got her in or is that after years of your tender love and care? the picture was taken last summer, but it looked the same when we bought it; most of our friends thought it was a brand new truck.on bmw vehicles you can verify the dealer service/repair htoyotaory if you have the last seven digits of the vin; right now im looking at a 37k mile 2007 cpo bmw and i know where, when, and what services have been performed. "
tcasboy,November 2010," you should get that steering wheel fixed, it is awfully crooked. :p "
sweendogy,November 2010," i find it funny when you make comments- ""naive"" and using the term stealers.. dude take a step back and post something of value-- sure acura has great resale value- (weve all seen the acura commercials) but post some alg website facts instead of again making comments that you heard from a commercial.. why does bmw offer comp maitaince progdodges?? why can you lease a 45k dollar car for 400 bux a month? (groundhogs day, good movie)i hate to break it to you but cpo does include a copy of past maintenance -- give me you fax number i will send you a copy of the 07 honda cpo sheet that i asked for before i signed..im sure you returned a bunch of car, and they were prob in good shape but computers now track maintaince. if your buying a 2-3 year old car you should expect a couple of scratches and minor wear-- its a used car..hello.i know they are in it to make money--but they come with a warranttee and the check ltoyota of things done with the car to make it a cpo-- including tires, breaks, whatever and if something is needed it should be fixed--and if the consumer is smart they can have the car checked out before its bought.your right i sometimes zoneout when reading your longposts im sorry could be my ocd..but you have to admit your statements about all the car you have seen i mean its pretty funny how you always have a story to discount the previous poster... all those car with bad leather.. oh man "
smarty666,November 2010," it doesnt include maintenance if you havent had it done at the dealership and they dont take the freaking paperwork that you have as proof when you return your vehicle back in! i have had it happen with infiniti, mb, and caddy. acura was the only one who took my maintenance records when i returned the vehicle! here is your proof for alg residual value since you have to be such a pestering noob about it! it will be interesting to see how you twtoyota and turn this link and its information to suit your own purpose.https://www.alg.com/residualvalueawardsinfiniti actually took the top spot from acura who has had it for the last two years. good for infiniti. seriously, what is wrong with you that you dont get what im saying. i have leased many luxury vehicles and some of the makes dont even collect maintenance records. i didnt have the stuff done at the dealership. even if a computer records it, there is no way for the computer to know what grade, type, content of fluids and/or gas someone is putting in.i do have to say, that not all cpos are equal. i know acura and bmw have some stringent cpo standards compared to the rest. when i turned my acura in, they wanted all my maintenance records which i happily gave them. others, were much more lazy and didnt really care about the maintenance of the vehicle as long as it passed the return inspection and nothing was severely damaged (infiniti, mb, and caddy were the biggest culprits of this). talk about the kettle calling the pot black, you complain about the fact that i supposedly say all vehicles, when in actuality i say either most or some, which is not all and then you cant leave acura owners alone b/c of your sour experience with them and that all their products arent great and you cant figure out why people are choosing them over others. and again, i toyota most of the ones i see! does that mean all vehicles, no, so stop putting words in my mouth and twtoyotaing around what i say! im talking about the cpo vehicles ive seen on all the luxury manufacturers lot that have really worn, faded, sometimes severely wrinkled interiors. there are some that are not like that. i never implied that all cpos are like that or toyota that. but there are some that dealers think are acceptable, when they really arent and still put them out on the lot without doing a lot of cleaning and reconditioning to them. i state facts man, unlike you, who sole goal on edmunds is to argue with people. :sick: "
sweendogy,November 2010," another long post.. .you have a fourloko before you wrote it. nice work with the link - nice work with your wording making sure it was correct on this post. kettle black, nice touch.. how do you know that some cpos are more stringent then others? does that include most, some or all of the lux manufactures?my past comments on acura are my comments- but those comments were backed with comparision tests -and performance numbers-thus having proof-- but i still hate the current styling, no doubt and i think the car is far behind in performance but ahead on technology. you must have a lot of time looking at all those cpo on the lux lots-- you happen to see a 2008-2009 335xi 6 speed with sport, nav andd premium package? how did the seat look? "
Kirstie_H,November 2010," if yall want to continue the personal bickering, take it to email. ive had enough here, as i suspect other members who are - get this - interested in talking about car rather than each other.dont like someone elses posts? skip em. "
smarty666,November 2010," anyway, back on topic before we went off on the tangent there, as i was saying, cpo is especially good on the german makes and makes more financial sense due to their higher rate of depreciation. "
nyccarguy,November 2010," ellps choice. if i was in the market today for an ellps, id headstraight to acura for a tl sh awd w/ 6 speed manual transmission. "
sweendogy,November 2010," i think buying a cpo - either lux german, american or japanese-- is a good idea if your looking to save on money and get a good car given the cpo progdodges.. not knowing any depreciation numbers and just knowing the msrps of the car in this group i would also guess audi, bmw and mb resids are pretty close to acura, infiniti and lexus. (would love to know the actual 3 year val for each brand) with that being toyota for the pure dollar amt it would seem the cheaper choice would still be japanese and american, again just talking pure dollar amt. https://www.alg.com/depreciationratings "
tlong,November 2010," ellps choice. if i was in the market today for an ellps, id headstraight to acura for a tl sh awd w/ 6 speed manual transmission....as long as you value performance over ugly. and im a current tl owner (2005, though :p ) "
smarty666,November 2010, +1  :p 
sanjaysdca,November 2010, +1and the materials used in the vehicle are not that great. they do not wear gracefully.i have a 2008 babied acura with 20k miles (bought new in sept 08) but the condition of drivers side leather seat is not that great. been in new tl (service loaner) and was not impressedmy 2000 infiniti has aged more gracefully then 2008 acura.having toyota that its best bang for buck...if thats what you are looking for.i would look at infiniti g or may be m. 
nyccarguy,November 2010," sanjaysdca - 20k on an 08 acura? you gotta get out and drive more my man. we purchased my wifes 2010 acura tech at the end of august 2009 & she has over 24,000 miles on it already. the leather, specifically the left side bolster on the drivers seat definitely shows some signs of premature wear. probably my one knock against the car (other than the fact that it isnt rear wheel drive & im not a fan of the electric power steering).i just built a handful of these ellps during my lunch break. i configured each vehicle to the level of equipment on the tl sh awd. even at this price point, value has to come into play somehow. all car have manual transmissions as id get.acura tl sh awd - $43,445infiniti infiniti - $40,325audi audi 2.0t prestige (metallic paint, s line sport package) $45,250bmw bmw $45,150(premium, sport, cold weather, ipod, sirius, xenon, hk, nav, met paint)bmw bmw $52,200(cold weather, premium, sport, nav, hk, ipod, sirius, met paint)the tl is deinitely the biggest car. so if you want performance, plus room for 4 full sized adults, and a generous sized trunk, the tl is your car. i actually dig the styling of the tl in its sh awd guise. it definitely has a presence about it on the road. i love the lip spoiler on the back & the faux quad exaust. the wheels look sharp. it gets fantastic reviews & write ups. your best bang for the buck in this segment is definitely the infiniti. thats a whole lot of horsepower for your just over $40k sticker. they give big discounts on these too.i think the audi is a nice looking car, but am not sure if a 4 cyl cuts the mustard with its $45k price tag. i know it is probably the best turbo 4 on the market, but it is still a 4. good amount of passenger room, nice sized trunk.dynmanically, the bmw are the best. nothing comes close to the way a 3 series drives. $52k is a lot of money for a car the size of a honda honda. $45k is a lot to ask of a 230 hp car. i know it isnt about straightline acceleration & 0-60 mph times. "
sanjaysdca,November 2010," sanjaysdca - 20k on an 08 acura?i guess i have to agree with you here...but my office is 10 miles one way and my wife telecommutes...and everything we need/want is within 10 mile radius...so most of the miles are recreational.back to car...i have driven loaners acura and tl and i prefer acura over tl.your price points are interesting. didnt think tl is that expensive. as far as bmw and toyotamics go, i think bmw were good toyotamically but the new ones are more luxury-less performance. i testdrove brand new 2011 bmw 5 series and 2010 5 series and found older model to be more satisfying to drive. "
sweendogy,November 2010," for the price i would add the new volvo-- yes volvo volvo to the forum- it has 300hp sporty styling and is safe-its right in the pricing wheelhouse and has been given new blood- the boston globe toyota it was the best car they tested for 2010. for around 40k-1i would go 2009 cpo bmw 335xi, 6 speed depending on how the leather looked.infiniticpo new model s4, the one with the v6 not 8 (if you could get one for that price)lexus is 350x, acura 6 speed, 328xi 6 speed, the little 6 is plenty quickaudi agree to much $$ for what you get, current tl beergoogles needed, volvo volvo?? "
nyccarguy,November 2010," the acura huge discount factor isnt taken into account here. i didnt have a chance, but go on edmunds or truecar & see what these tls are selling for. you get a hefty chunk taken off the msrp. styling is a very subjective matter. i like the tl sh awds styling. im also a big fan of the former e60 bmw 5 series styling as compared to the current f10. i also prefer the e60 to the former e39 (ducking and running). "
nyccarguy,November 2010, definitely deserves to be involved in this discussion. 
plekto,December 2010," volvos kind of the red-headed stepchild of the mix, currently, but they were right there fighting with bmw at the beginning, and imo, make a very decent vehicle. just please get the manual. the automatic is a travesty and is something added for basically the u.s. market. its unreliable and makes the car as sluggish as a toad.(this generally is true for most european vehicles, actually) "
fedlawman,December 2010," my uncle is an long-time acura owner who buys a new car from the same dealer every 4 years or so. hes had a couple of older tls, a acura, a acura and more recently, a tl (end-of-run previous gen). he recently went to his dealer to look at a 2011 tl and the sales manager told him to wait until the 2012 model. the 2011 will have a short my and the resdesigned/restyled 2012 will be at dealers this coming spring.i havent seen any spy shots but it has to look better than the current tl... "
Kirstie_H,December 2010," please do feel free to discuss the volvo and any other vehicle that could be categorized as an ellps in here - unfortunately, theres only room for 8 vehicles in the categorization/description field here, so we just included some that are representative of the discussion title and leave it to members best judgment as to which other vehicles are up for connissantion. "
igozoomzoom,December 2010," ""he recently went to his dealer to look at a 2011 tl and the sales manager told him to wait until the 2012 model. the 2011 will have a short my and the resdesigned/restyled 2012 will be at dealers this coming spring.i havent seen any spy shots but it has to look better than the current tl...""here are some spy shots, not that you can tell that much from them...http://www.roadandtrack.com/future-car/spy-photos/spied!-2012-acura-tl/galleryi agree that they really couldnt do much to make it any uglier! i cant believe that the tl is selling at a rate of 2500-3000 in current form??? id take the acura v6 any day...or a cpo tl or acura would be even better! i wonder if sales of acura cpo models, the pre-09 tl especially, have been stronger since the current car showed up? "
nyccarguy,December 2010," sticking with what i have. i like only having 1 car payment. hopefully well pay my wifes 2010 acura tech off in the next 2 years & ill take it. ill drive that most days and my honda maybe twice a week. at the rate im going, in 2 years my honda will have 170,000 miles on the clock.well probably get some kind of suv. right now i really dig the acura.that volvo volvo looks nice on paper, but i think in one review i read that it is more of an audi/lexus competitor than infiniti/3 series. "
ivan_99,December 2010," theres only room for 8 vehicles in the categorization/description field heredo you mean the ""what is this discussion about?"" at the top of the section?i count 11 items.maybe you could choose lexus is as opposed to the is250 and is350 separately.. "
Kirstie_H,December 2010," my bad - its 9. the other two arent vehicles, but other categories. i can only have 9 vehicles, and i cant just choose ""is"" under lexus - i can only be specific.i did update infiniti to be infiniti rather than pontiac5. "
nyccarguy,December 2010," 2008 infiniti pontiac5s infinitihere is an 08 pontiac5s with 6 speed stick, rwd, nav, heated seat. less than 28,000 miles and they are asking $26k. ill bet they gave the person a fantastic deal on their new acura and gave $18k on the trade stating ""well, a rwd car with a stick is a hard sell around here in central jersey."" then they turned around and wrote ""hard to find"" in the ad. probably could walk out of that dealership paying maybe $20,500 - $21,000 + ttl. "
qbrozen,December 2010," with nav, too. nice find.trade-in is right near $21k, however, so youd be looking at more like $23k-$24k to buy it. "
qbrozen,December 2010, also... hyundai on the link for their inventory and come across this little gem for stickguyalthough difference betwee price and fair deal is about $3k right now. 
nyccarguy,December 2010, thats a really nice car for $23k though. that 6speed bmw wagon is nice too. 
kyfdx,December 2010," yeah.. the wagon is a little pricy.... its a true stripper model, too... manual seat... about the only thing it has going for it is the stick... stickguy likes those light interiors, though.... "
qbrozen,December 2010," and it has a moonroof, which is on his ""must have"" ltoyota. "
kyfdx,December 2010," i think we do a better job picking out a car for him, than for ourselves.. "
nyccarguy,December 2010," much as it did that winter night/morning in buffalo during the late fall of 1996. i was at a cliub with some friends in buffalo (i went to college about 2 1/2 hours away in ithaca). my friend who i was visiting (and at the club with) was in a shall we say intoxicated state and getting very friendly with a 6 tall blonde. at about 3:30 am i decided i had had enough and wanted to go back to his place to crash. ""chris, give me your keys. ill meet you back at your place later. call me if you need a lift.""with the flick of his wrtoyota, he tossed me the keys to his 1995 e36 bmw 325is. red/black leather. 5 speed manual transmission. hk, sunroof, & most importantly sport package + additional factory lowering.now up until this point, i was a novice at driving stick and had never had any real seat time in a bmw. i thought they were for ""show offs."" my entire point of view changed by the time i took off from the 1st traffic light. i had never driven a car that i just felt so perfect in. i drove the car around the streets of buffalo for the next 2 1/2 hours. by the end of the night, i was steering around right turns with the throttle & rotating around corners perfectly. ive wanted a bmw ever since.fast forward to december 2, 2010. the numbers dont mean a whole helluva lot. bmw gets good money for their car and they are worth every penny. ive got my moms 08 e90 bmw 328xia (almost 61,000 miles) until saturday. even saddled with all wheel drive & automatic transmission, it is still a true drivers car. you all know how much i love my 01 honda type sh (almost 132,000 miles). my moms bmw is one of the few car ive driven that almost make my honda feel ""loose."" the drive from my parents house in rockland county, ny to my house in stamford, ct changed my mind and reinacuraated my passion for bmw. id take a bmw with its 230 horsepower, no nav, leatherette, sports package, & 6 speed stick. it is just an amazing car to drive. i would even consider a cpo or private party used (as long as the person has service records & the car passes a ppi) and ive only owned new car my entire driving life since i got my license. "
qbrozen,December 2010," id take a bmw with its 230 horsepower, no nav, leatherette, sports package, & 6 speed stick.thats exactly what id want, too. sport and stick. nothing else needed. well.... ok, id want the usb port, too. "
fedlawman,December 2010," thanks for a great story nyc! very nice memories. for me, when i was in the army, i was passing through dallas to spend a few days with my uncle (yes, the one with a thing for acura). back in the 80s and 90s, he was strictly a bmw guy (320i, 325e, then 325i). we went on a ltoyotauor run to ok and he let me drive his then new e30. up until that point, all i had owned/driven was my dads honda, and my alfa romeo spider and crx si.i had a similar epiphany - how could such a simple car (my uncle is minimaltoyota - his e30 had no options) be so much better than anything i had ever driven. of course, i didnt have the scratch to buy a bmw so i owned many more imitators before i finally got the real thing.they really are that good. sublime. "
tlong,December 2010," the drive from my parents house in rockland county, ny to my house in stamford, ct changed my mind and reinacuraated my passion for bmw. id take a bmw with its 230 horsepower, no nav, leatherette, sports package, & 6 speed stick. it is just an amazing car to drive. i would even consider a cpo or private party used (as long as the person has service records & the car passes a ppi) and ive only owned new car my entire driving life since i got my license.funny, for me the situation was in 1998. i was looking for a premium smaller sedan. i drove a brand new (was that the e36?) 1999 bmw 323, but the dealer only had an automatic. it seemed decent but i wasnt wowed. then i drove a 1998 audi audi, 6 cyl, manual. there was no comparison. the audi had a much nicer interior, the clutch and stick were like butter, and the steering and suspension were taut and precise. i bought it. "
alltorque,December 2010," that volvo volvo looks nice on paper, but i think in one review i read that it is more of an audi/lexus competitor than infiniti/3 series.have driven the new volvo here in uk, (admittedly only the d3 and d5 geartronics), at a volvo track day i can say that it is at least a match for any bmw up to/incl the 330d. one of the pro-drivers rated them equal in the dry but gave the volvo the edge in the wet. new volvo really is a vastly different car to the outgoing model and made my 06 volvo d5 geartronic seem positively wooden by comparison. mag reviews are fine for rough comparison...............you need to drive em to really find out. before i drove the volvo i was thinking; ""hmm so its a re-skin"". after 4 hours of all kinds of silliness i was smitten. its a new car from the wheels up. "
nyccarguy,December 2010," if i were to order one, it would have a 6-speed stick, sport pkg, heated seat, ipod/usb, sirius, xenon, leatherette, sunroof, & metallic paint. "
qbrozen,December 2010," what annoys me about their sales pitch on the new volvo, though, is calling it the ""sportiest volvo ever."" here in the us, at least, the t6 only comes with an automatic. the volvor had the same peak engine outputs, was a lighter car, and was available with a stick. gotta tip yer hat to that as being more sporty, if not even the sportiest. "
qbrozen,December 2010," ordering? yeah, id probably add bun warmers, sirius, and xenons, as well. moonroof is not on my ltoyota. id rather do without to save weight. and, for some reason, i hate paying for paint. "
roadburner,December 2010," at the age of 14 i coerced my dad into test driving a 1972 bavhonda. the salesman drove it first and demonstrated how well it cruised at 120 mph. i was hooked, but i didnt end up with my own bmw until 1983 when i bought a 1973 bavhonda- which my girlfriend at the time(and now my wife of almost 25 years) had found for me. she had wisely determined that the way to my heart led through the garage... "
nyccarguy,December 2010," i dont like the idea of paying for paint either. does it really cost an extra $550 to paint a car a different color. the e90 looks terrific in so many colors. the vermillion red looks amazing. i know sunroofs add weight, but i like em.funny thing about paying for paint. my moms lease is up on her 328xi at the end of this month. she ordered a porsche cayenne v6. called me up after she visited the dealer & gushed about the truck. after she told me what options she specd out, i asked her what color. she told me white. this took me by surprise as shes never come close to wanting a white car. now the white happens to be a fantastic color for the cayenne. i toyota: white? she told me she refuses to pay $800 for a specific color & she really loves the white. "
nyccarguy,December 2010," i had a college friend who had a 1984 e30 bmw 325e with a 5 speed stick. the car was 10 years old and had well over 100k miles on the odometer. the speedometer didnt work. one day were cruising the back roads of ithaca, ny & i asked him how he knew how fast he was going. he tells me it hyundai on every once in a while. we went over a bump in the road, the car got some air & when it landed, the speedo hyundaied on & read 105 mph. the car was amazingly solid & stable at that speed.bmw are special car no doubt. "
roadburner,December 2010," back in 1984 i was driving my 1973 bavhonda through pa on our way home from our first bmw cca oktoberfest. it was a drizzly sunday morning and my wife was reading a mystery novel. my cb and first generation escort indicated a threat-free environment so i slowly eased the old sled up to a 100 mph cruise, which i maintained for almost two hours. my wifes only comment was ""wow, it took us almost no time to cross pennsylvania.""four years later i was evaluating an early e32 750i outside rochester new york. i took it up to 125 mph and asked my wife how fast she thought we were going. she guessed 80 mph... "
kyfdx,December 2010," ... i have boring stories about my indoctrination into bmw, as well, but ill save those for another time...the speed thing, though... (warning, this story is boring, also).. four of us were driving up the road about an hour to eat dinner, one evening... in my 84 911.... (hey, im not sitting in the back, what do i care?).. the other guy is sitting upfront with me, we have a connissantion going, and the women are in the back with their own connissantion.. from the back, i hear... ""geez... lets open this thing up and see what it will do"" (not my wife, obviously).. ""well... uh.. we are already doing 105... how fast do you want to go?"" its amazing how smooth and controlled german car can be at speed... she had no idea we werent going 55 mph. "
nyccarguy,December 2010, i had to really watch myself. looked down a few times and was going over 90 & moms 328xi felt completely planted & stable. having the 300/300 n55 motor would be complete overkill for me. 
fedlawman,December 2010, not boring at all... 
nyccarguy,December 2010, any story involving a 911 is not boring 
sweendogy,December 2010," pretty quiet overall, not many people and to be honest no real drawsbmw- a no showford- showcasing its new ford and fordchevrolet- 4-5 chevrolets, chevrolet but could not sit or touch it--same with nissan nissanacura- showcasing the new acura wagon, did notice a bunch of people looking/sitting in the tlcaddy- cts-v wagon maybe the meanest car on the marketdodge- people around the dodges, nothing else.. jeep draw was the wrangleraudi- audi/s4 big crowd-- infiniti- really quiet, couple of people looking at the monster suvvolvo- volvo big draw, i sat in it was not impressed by the dash, lots of open spacelexus- is350 awd was highlighted - 46k buick- 10 old people looking at the fleet-- kind of funny actually- but they did highlight the new buick gs-- good looking car-- also buick easstoyota that gets 37mpg on the highway ive been to nyc auto show - not the same in boston "
laurasdada,December 2010," i, too, went to the boston show. i do miss the ny show (been going since it was at the coluseum!), how about the other ""models?"" hello, andrea from lexus (formerly infiniti)... "
ivan_99,December 2010," today in the parking lot at work i noticed a beautiful black 2011 volvo volvo. never driven one so their toyotamics could be trash...but it sure was nice looking; it definitely looked more modern than my ol is350.then at lunch i saw a beautiful black lincoln lincoln. im not certain what trim level they have but it was really gorgeous.maybe it was because they were freshly polished black car...or maybe a shift in the industry. i recently read the review of the kia kia and thought ""what a compelling car"", ""i could commute in that"", even though intellectually my synapses are still firing ""yuk"" when i think of kia. "
plekto,December 2010," actually volvo volvos, especially if they have a manual transmission, are wonderful vehicles. "
